customer_id,date,region,age,purchase_amount,visit_count,category,membership_level,satisfaction_score,purchase_channel
1053,2023-05-15,서울,32.0,48500.25,4,의류,일반,4.0,온라인
1102,2023-03-22,부산,45.0,62300.75,7,전자제품,골드,5.0,온라인
1201,2023-08-10,인천,,35800.50,3,식품,실버,3.0,오프라인
1045,2023-02-18,경기,29.0,42100.00,5,도서,일반,4.0,모바일
1128,2023-07-03,서울,51.0,185700.25,9,전자제품,VIP,5.0,온라인
1073,2023-09-27,대구,38.0,28450.75,2,의류,실버,3.0,오프라인
1167,2023-04-14,부산,42.0,53250.50,6,가구,골드,,온라인
1092,2023-11-05,서울시,27.0,37900.25,4,식품,일반,2.0,모바일
1249,2023-06-30,광주,33.0,58600.00,7,전자제품,실버,4.0,온라인
1031,2023-01-19,경기도,47.0,67300.50,8,도서,골드,5.0,오프라인
1187,2023-10-08,서울,,203400.75,12,전자제품,VIP,5.0,온라인
1053,2023-12-24,인천시,36.0,41250.25,5,의류,실버,3.0,모바일
1267,2023-08-15,대전,29.0,32750.00,3,식품,일반,,온라인
1114,2023-05-02,부산시,55.0,74500.50,9,가구,VIP,4.0,오프라인
1089,2023-07-11,서울특별시,31.0,46800.25,6,도서,실버,4.0,모바일
1204,2023-03-28,울산,43.0,195300.75,10,전자제품,골드,5.0,온라인
1147,2023-09-19,경기,39.0,52100.50,7,의류,실버,3.0,오프라인
1076,2023-04-05,서울,28.0,38750.00,4,식품,일반,2.0,모바일
1156,2023-11-13,대구시,50.0,68900.25,8,가구,골드,4.0,온라인
1053,2023-02-27,부산,32.0,47250.75,5,도서,일반,4.0,오프라인
1173,2023-06-08,서울,34.0,59300.50,7,의류,실버,,모바일
1022,2023-10-31,광주,46.0,183500.25,11,전자제품,VIP,5.0,온라인
1198,2023-01-23,서울,30.0,43700.75,5,식품,실버,3.0,오프라인
1134,2023-12-09,인천,41.0,57800.50,8,가구,골드,4.0,모바일
1159,2023-08-22,경기,37.0,49250.00,6,도서,실버,4.0,온라인
1087,2023-05-17,대전,,172400.25,9,전자제품,골드,5.0,오프라인
1255,2023-07-01,서울,26.0,33900.75,3,의류,일반,2.0,모바일
1068,2023-03-12,부산광역시,48.0,63500.50,8,식품,VIP,5.0,온라인
1127,2023-09-05,인천,35.0,45800.25,5,가구,실버,3.0,오프라인
1195,2023-04-28,경기도,40.0,54200.75,7,도서,골드,4.0,모바일
1102,2023-11-19,서울,,198700.50,10,전자제품,골드,5.0,온라인
1233,2023-02-03,광주시,31.0,39600.25,4,의류,실버,,오프라인
1065,2023-06-26,대구,53.0,71900.75,9,식품,VIP,4.0,모바일
1123,2023-10-12,서울시,38.0,51300.50,6,가구,골드,3.0,온라인
1208,2023-01-08,부산,27.0,36450.00,3,도서,일반,2.0,오프라인
1045,2023-12-15,인천광역시,44.0,60700.25,8,전자제품,실버,4.0,온라인
1176,2023-08-31,서울,39.0,212500.75,11,의류,VIP,5.0,모바일
1265,2023-05-09,대전시,32.0,42850.50,5,식품,실버,3.0,오프라인
1101,2023-07-22,부산,50.0,69300.00,9,가구,골드,4.0,온라인
1156,2023-03-15,경기,29.0,37650.25,4,도서,일반,2.0,모바일
1217,2023-09-01,서울,47.0,165400.75,10,전자제품,VIP,5.0,오프라인
1082,2023-04-20,대구,,55750.50,7,의류,실버,3.0,온라인
1242,2023-11-26,인천,33.0,44100.00,5,식품,골드,4.0,모바일
1063,2023-02-11,부산시,52.0,70850.25,9,가구,VIP,5.0,온라인
1139,2023-06-04,서울 지역,30.0,40300.75,4,도서,일반,3.0,오프라인
1201,2023-10-17,광주,42.0,58600.50,7,전자제품,골드,,모바일
1094,2023-01-29,경기,36.0,47250.00,6,의류,실버,3.0,온라인
1145,2023-12-21,서울,49.0,176900.25,10,식품,VIP,5.0,오프라인
1227,2023-08-07,대전,28.0,35250.75,3,가구,일반,2.0,모바일
1053,2023-05-29,인천,46.0,62300.50,8,도서,골드,4.0,온라인
1112,2023-07-15,부산광역시,37.0,50700.00,6,전자제품,실버,3.0,오프라인
1183,2023-03-31,서울,,201400.25,11,의류,VIP,5.0,모바일
1271,2023-09-23,경기,34.0,43700.75,5,식품,실버,3.0,온라인
1028,2023-02-14,대구광역시,49.0,66850.00,8,가구,골드,4.0,모바일
1162,2023-06-21,서울,32.0,178200.50,9,전자제품,VIP,5.0,온라인
1078,2023-10-05,인천,25.0,32100.75,2,의류,일반,2.0,오프라인
1125,2023-01-11,부산,43.0,59300.50,7,식품,실버,,모바일
1198,2023-12-02,서울시,38.0,49850.00,6,도서,골드,3.0,온라인
1043,2023-08-18,경기도,56.0,76200.25,10,전자제품,VIP,5.0,모바일
1231,2023-05-06,대전,31.0,41400.75,4,의류,실버,3.0,온라인
1149,2023-07-27,광주,47.0,64700.50,8,가구,골드,4.0,오프라인
1086,2023-03-03,서울,29.0,38250.00,3,식품,일반,2.0,모바일
1215,2023-09-15,부산시,52.0,212500.75,12,전자제품,VIP,5.0,온라인
1062,2023-04-25,인천,,45350.50,5,도서,실버,4.0,오프라인
1138,2023-11-08,경기,36.0,46700.75,6,의류,골드,3.0,모바일
1201,2023-02-21,서울,50.0,68050.00,9,가구,VIP,4.0,온라인
1094,2023-06-17,대구시,33.0,42850.50,5,식품,실버,3.0,오프라인
1251,2023-10-22,부산,45.0,185700.25,11,전자제품,골드,5.0,모바일
1067,2023-01-05,인천시,28.0,37250.75,3,도서,일반,2.0,온라인
1245,2023-12-28,서울,51.0,69900.50,9,가구,VIP,5.0,모바일
1123,2023-08-13,광주광역시,35.0,44950.00,5,의류,실버,3.0,온라인
1079,2023-05-24,대전,42.0,57350.50,7,식품,골드,,오프라인
1205,2023-07-08,서울,30.0,40750.00,4,도서,일반,3.0,모바일
1034,2023-03-17,부산,48.0,190500.25,10,전자제품,VIP,5.0,온라인
1161,2023-09-09,인천,37.0,48100.75,6,의류,실버,3.0,오프라인
1076,2023-04-30,경기,53.0,72500.50,9,가구,골드,4.0,모바일
1194,2023-11-22,서울특별시,32.0,41950.00,5,식품,실버,3.0,온라인
1131,2023-02-08,대구,44.0,60250.75,8,전자제품,골드,4.0,오프라인
1075,2023-06-13,부산,29.0,38750.00,3,도서,일반,2.0,모바일
1245,2023-10-27,서울,,205300.50,12,가구,VIP,5.0,온라인
1080,2023-01-15,인천,51.0,69300.00,9,의류,골드,4.0,오프라인
1151,2023-12-07,경기 지역,36.0,46700.75,6,식품,실버,3.0,모바일
1231,2023-08-01,서울,47.0,63900.50,8,도서,골드,4.0,온라인
1028,2023-05-11,부산광역시,33.0,43300.00,5,전자제품,실버,3.0,오프라인
1182,2023-07-19,대전,41.0,195300.75,10,가구,VIP,5.0,모바일
1116,2023-03-09,인천,27.0,36050.50,3,식품,일반,2.0,온라인
1045,2023-09-25,서울시,55.0,73850.00,9,의류,골드,,오프라인
1166,2023-04-16,광주,38.0,50700.00,6,도서,실버,3.0,모바일
1218,2023-11-02,경기,49.0,68500.50,8,전자제품,골드,4.0,온라인
1085,2023-02-25,서울,31.0,40300.75,4,식품,일반,3.0,오프라인
1165,2023-06-05,부산,52.0,180200.25,11,가구,VIP,5.0,모바일
1053,2023-10-20,인천광역시,39.0,52450.50,7,의류,실버,3.0,온라인
1153,2023-01-02,대구,26.0,34300.75,2,도서,일반,2.0,오프라인
1098,2023-08-28,서울,47.0,64700.50,8,전자제품,골드,,모바일
1173,2023-03-05,경기도,34.0,44100.00,5,식품,실버,3.0,온라인
1214,2023-06-28,서울,50.0,68900.25,9,가구,VIP,4.0,오프라인
1087,2023-05-03,부산,32.0,41400.75,4,의류,실버,3.0,모바일
1256,2023-09-12,인천,45.0,171800.25,10,전자제품,골드,5.0,온라인
1074,2023-04-01,대전시,29.0,37650.25,3,도서,일반,2.0,오프라인
1122,2023-11-29,서울,53.0,72500.50,9,식품,VIP,5.0,모바일
1189,2023-02-16,광주시,37.0,48100.75,6,가구,실버,3.0,온라인
1056,2023-10-02,부산,42.0,56950.00,7,의류,골드,4.0,모바일
1204,2023-07-30,서울,,187900.50,11,전자제품,VIP,5.0,온라인
1043,2023-01-26,인천,33.0,43300.00,5,식품,실버,3.0,오프라인
1175,2023-12-13,대구광역시,48.0,65500.50,8,도서,골드,4.0,모바일
1118,2023-08-25,서울,30.0,39600.25,4,가구,일반,3.0,온라인
1265,2023-03-23,경기,51.0,215000.75,12,전자제품,VIP,5.0,오프라인
1092,2023-05-19,부산시,36.0,47250.00,6,의류,실버,3.0,모바일
1152,2023-09-29,대전,44.0,59300.50,7,식품,골드,4.0,온라인
1072,2023-04-07,서울,27.0,35650.75,3,도서,일반,2.0,오프라인
1174,2023-11-16,인천,49.0,67300.50,8,가구,VIP,,모바일
1126,2023-02-02,서울특별시,35.0,45350.50,5,전자제품,실버,3.0,온라인
1243,2023-06-24,광주,43.0,182500.25,10,의류,골드,5.0,오프라인
1131,2023-07-17,부산,28.0,36450.00,3,식품,일반,2.0,모바일
1196,2023-03-26,경기 지역,50.0,68900.25,9,도서,VIP,4.0,온라인
1102,2023-09-07,서울,36.0,47250.00,6,가구,실버,3.0,오프라인
1058,2023-04-23,인천,,32750.00,2,의류,일반,2.0,모바일
1157,2023-10-09,대구,43.0,58600.50,7,전자제품,골드,4.0,온라인
1204,2023-01-13,서울,30.0,39600.25,4,식품,실버,3.0,오프라인
1276,2023-08-06,부산,52.0,175900.75,11,가구,VIP,5.0,모바일
1033,2023-12-18,경기,37.0,48500.25,6,도서,골드,4.0,온라인
1181,2023-05-28,서울시,29.0,37650.25,3,의류,일반,2.0,오프라인
1119,2023-07-04,대전,46.0,62300.50,8,전자제품,VIP,5.0,모바일
1045,2023-03-20,인천시,34.0,44500.00,5,식품,실버,3.0,온라인
1168,2023-11-11,서울,51.0,69900.50,9,가구,골드,4.0,오프라인
1053,2023-02-06,광주광역시,32.0,41400.75,4,도서,실버,,모바일
1155,2023-09-03,부산,48.0,173600.25,10,전자제품,VIP,5.0,온라인
1096,2023-04-11,경기도,35.0,45350.50,5,의류,실버,3.0,오프라인
1213,2023-06-02,서울,40.0,53700.00,7,식품,골드,4.0,모바일
1078,2023-10-15,대구시,27.0,35250.75,3,가구,일반,2.0,온라인
1143,2023-01-22,서울,52.0,70850.25,9,전자제품,VIP,5.0,오프라인
1173,2023-08-09,인천,39.0,51650.50,7,도서,실버,4.0,모바일
1224,2023-03-14,부산광역시,46.0,207800.75,12,의류,골드,5.0,온라인
1091,2023-05-21,대전,33.0,42850.50,5,식품,실버,3.0,오프라인
1257,2023-07-25,서울,41.0,55350.00,7,가구,골드,4.0,모바일
1066,2023-04-03,경기,28.0,36450.00,3,도서,일반,2.0,온라인
1132,2023-09-18,부산,,63100.50,8,전자제품,VIP,5.0,오프라인
1102,2023-11-05,인천,45.0,61700.00,8,의류,골드,4.0,모바일
1198,2023-02-28,서울 지역,32.0,41950.00,5,식품,실버,3.0,온라인
1243,2023-06-09,대구,49.0,169400.25,10,가구,VIP,5.0,오프라인
1123,2023-10-29,광주,36.0,46700.75,6,도서,실버,3.0,모바일
1071,2023-01-18,서울,44.0,59300.50,7,전자제품,골드,4.0,온라인
1147,2023-08-03,부산시,31.0,40300.75,4,의류,실버,3.0,오프라인
1200,2023-03-07,인천,53.0,71900.75,9,식품,VIP,,모바일
1045,2023-12-30,경기,38.0,49850.00,6,가구,골드,3.0,온라인
1166,2023-05-13,서울,27.0,193800.75,11,전자제품,일반,2.0,오프라인
1087,2023-09-30,대전시,49.0,66850.00,8,도서,VIP,4.0,모바일
1154,2023-04-18,인천,35.0,45800.25,5,의류,실버,3.0,온라인
1221,2023-07-06,서울특별시,43.0,57800.50,7,식품,골드,4.0,오프라인
1028,2023-11-24,경기,30.0,39150.75,4,가구,실버,3.0,모바일
1169,2023-02-13,부산광역시,51.0,190500.25,10,전자제품,VIP,5.0,온라인
1102,2023-06-19,서울,37.0,47700.00,6,도서,실버,3.0,오프라인
1234,2023-10-04,대구광역시,44.0,59750.50,7,의류,골드,4.0,모바일
1057,2023-01-09,인천,,35250.75,3,식품,일반,2.0,온라인
1171,2023-08-24,서울,52.0,175900.75,11,가구,VIP,5.0,오프라인
1117,2023-04-06,부산,36.0,46250.00,6,전자제품,실버,3.0,모바일
1245,2023-05-25,경기도,47.0,63900.50,8,도서,골드,4.0,온라인
1081,2023-03-29,서울,29.0,37650.25,3,의류,일반,2.0,오프라인
1139,2023-09-16,대전,51.0,205300.50,12,식품,VIP,5.0,모바일
1055,2023-12-04,광주시,38.0,49850.00,6,가구,골드,3.0,온라인
1178,2023-08-21,서울,33.0,42850.50,5,전자제품,실버,3.0,모바일
1105,2023-04-27,인천시,49.0,67300.50,8,의류,VIP,,온라인
1216,2023-06-15,부산,30.0,39150.75,4,도서,실버,3.0,오프라인
1202,2023-09-14,서울시,42.0,179800.50,10,전자제품,VIP,5.0,온라인
1012,2023-10-30,경기,29.0,37650.25,3,식품,일반,2.0,오프라인
1234,2023-01-20,대구,51.0,69300.00,9,가구,골드,4.0,모바일
1045,2023-07-14,서울,38.0,49850.00,6,의류,실버,3.0,온라인
1143,2023-02-23,인천광역시,44.0,59300.50,7,도서,골드,4.0,오프라인
1098,2023-11-17,부산,32.0,41950.00,5,식품,실버,3.0,모바일
1177,2023-05-01,서울,45.0,171800.25,10,전자제품,VIP,5.0,온라인
1121,2023-08-16,대전,31.0,40300.75,4,가구,실버,3.0,오프라인
1053,2023-03-24,경기,48.0,65500.50,8,의류,골드,4.0,모바일
1158,2023-12-11,서울 지역,35.0,44950.00,5,도서,실버,,온라인
1100,2023-04-15,광주,52.0,175900.75,11,전자제품,VIP,5.0,오프라인
1262,2023-07-23,인천,37.0,48100.75,6,식품,실버,3.0,모바일
1243,2023-06-30,대구시,43.0,58600.50,7,가구,골드,4.0,온라인
1081,2023-02-09,서울,30.0,39150.75,4,의류,일반,3.0,오프라인
1124,2023-09-22,부산시,49.0,183500.25,10,도서,VIP,5.0,모바일
1102,2023-01-04,경기도,36.0,46700.75,6,전자제품,실버,3.0,온라인
1181,2023-08-28,서울,44.0,59300.50,7,의류,골드,4.0,오프라인
1143,2023-03-19,인천,31.0,40300.75,4,식품,실버,3.0,모바일
1192,2023-11-01,서울특별시,53.0,202800.75,12,가구,VIP,5.0,온라인
1045,2023-04-13,대전시,38.0,49850.00,6,도서,골드,3.0,오프라인
